Réseau,Station,Trafic,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,Ville,Arrondissement pour Paris
Métro,GRANDS BOULEVARDS,7416725,8,9,,,,Paris,9
Métro,LA COURNEUVE-8 MAI 1945,5962052,7,,,,,La Courneuve,
Métro,SAINT-AMBROISE,3037654,9,,,,,Paris,11
Métro,MARAICHERS,2788149,9,,,,,Paris,20
Métro,ASSEMBLEE NATIONALE,1131202,12,,,,,Paris,7
Métro,SAINT-LAZARE,46679970,3,9,12,13,14,Paris,8
Métro,BELLEVILLE,11755857,2,11,,,,Paris,10
RER,SAINT-MAUR-CRETEIL,3592853,A,,,,,Saint-Maur des Fossés,
Métro,HOTEL DE VILLE,11467832,1,11,,,,Paris,4
Métro,BERCY,6700350,6,14,,,,Paris,12
Métro,CONCORDE,6325918,1,8,12,,,Paris,8
Métro,PORTE DE SAINT-CLOUD,5386794,9,,,,,Paris,16
Métro,SAINT-DENIS-PORTE DE PARIS,4503548,13,,,,,Saint Denis,
Métro,SAINT-PHILIPPE-DU-ROULE,3076501,9,,,,,Paris,8
Métro,PORTE DE CHAMPERRET,3431010,3,,,,,Paris,17
Métro,BREGUET-SABIN,2351237,5,,,,,Paris,11
Métro,SAINT-SULPICE,2350813,4,,,,,Paris,6
Métro,PONT NEUF,1613273,7,,,,,Paris,4
Métro,VARENNE,1410421,13,,,,,Paris,7
Métro,LIEGE,1795368,13,,,,,Paris,8
